"","id","countryCode","establishmentMeans","occurrenceRemarks","location"
"152",112131,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-SC-BR-RS-BR-PR"
"153",114447,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SC-BR-SP-BR-RJ-BR-MG-BR-ES-BR-MT-BR-MS-BR-GO-BR-DF"
"154",112267,"BR","NATURALIZADA","Não endemica/","BR-SC-BR-RS-BR-PR"
"155",85294,"BR","NATIVA","Não endemica/Amazônia","BR-RO-BR-PA"
"156",15540,"BR","NATIVA","Endemica/Caatinga-Endemica/Cerrado-Endemica/Mata Atlântica","BR-RJ-BR-MG-BR-ES-BR-BA"
"157",111381,"BR","NATIVA","Endemica/Cerrado","BR-MG"
"158",32731,"BR","NATIVA","Não endemica/Amazônia-Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pantanal","BR-DF-BR-BA-BR-RJ-BR-MG-BR-PE-BR-RO-BR-MT-BR-MS-BR-GO"
"159",127718,"BR","NATURALIZADA","Não endemica/","BR-RN"
"160",116392,"BR","CULTIVADA","Não endemica/","BR-SP-BR-RJ-BR-MG-BR-ES"
"161",116390,"BR","NATURALIZADA","Não endemica/Pampa","BR-RS"
"162",114943,"BR","NATIVA","Endemica/Cerrado","BR-MG"
"163",82967,"BR","NATIVA","Não endemica/Amazônia","BR-RO-BR-PA-BR-AM-BR-MT"
"164",109238,"BR","NATURALIZADA","Não endemica/Pampa","BR-RS"
"165",109239,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-RS-BR-RJ-BR-SC"
"166",102568,"BR","NATIVA","Endemica/Mata Atlântica","BR-SC-BR-RS"
"167",1770,"BR","NATIVA","Endemica/Cerrado","BR-MG"
"168",102569,"BR","NATIVA","Não endemica/Pampa","BR-RS"
"169",34576,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-PR"
"170",1768,"BR","NATIVA","Endemica/Cerrado","BR-MG"
"171",16613,"BR","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-BA"
"172",14727,"BR","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-MG-BR-PR"
"173",19961,"BR","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-BA"
"174",121468,"BR",NA,"/Mata Atlântica","BR-RS"
"175",117564,"BR","NATURALIZADA","Não endemica/Cerrado","BR-SP-BR-SC-BR-RS-BR-PR"
"176",110067,"BR","NATIVA","Não endemica/Pantanal","BR-MS"
"177",16952,"BR","NATURALIZADA","Não endemica/Cerrado","BR-PR"
"178",137452,"BR",NA,"/Caatinga-/Mata Atlântica","BR-PE"
"179",137454,"BR",NA,"/Caatinga","BR-PE"
"180",105742,"BR","CULTIVADA","Não endemica/Mata Atlântica","BR-RJ"
"181",16341,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pampa-Não endemica/Pantanal","BR-PE-BR-PA-BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-BA-BR-MT-BR-MS-BR-GO-BR-DF"
"182",82065,"BR","NATURALIZADA","Não endemica/Amazônia","BR-MA"
"183",16975,"BR","NATURALIZADA","Não endemica/Cerrado","BR-BA-BR-GO"
"184",6986,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SP"
"185",19409,"BR","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-SE-BR-PI-BR-AL-BR-TO-BR-MG-BR-PE-BR-MA-BR-BA-BR-GO-BR-DF"
"186",6847,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Mata Atlântica","BR-PE-BR-BA"
"187",123755,"BR","NATIVA","Não endemica/Amazônia","BR-MA-BR-PA-BR-AP-BR-AM-BR-MT"
"188",6719,"BR","NATURALIZADA","Não endemica/Pampa","BR-RS"
"189",6720,"BR","NATIVA","Não endemica/Pampa","BR-RS"
"190",6699,"BR","NATURALIZADA","Não endemica/Pampa","BR-RS"
