"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nome_especie"
"91","Fabaceae","Bauhinia ovata (Bong.) Vogel","Bauhinia ovata (Bong.) Vogel",100878,"Fabaceae","Bauhinia ovata (Bong.) Vogel",100878,NA,"LFB","name ok","","Bauhinia ovata"
"92","Fabaceae","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby",18297,"Fabaceae","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby",18297,NA,"LFB","name ok","","Chamaecrista aspleniifolia"
"93","Fabaceae","Chamaecrista blanchetii (Benth.) Conc. et al.","Chamaecrista blanchetii (Benth.) Conc. et al.",105505,"Fabaceae","Chamaecrista blanchetii (Benth.) Conc. et al.",105505,NA,"LFB","name ok","","Chamaecrista blanchetii"
"94","Fabaceae","Chamaecrista brachystachya (Benth.) Conc. et al.","Chamaecrista brachystachya (Benth.) Conc. et al.",105506,"Fabaceae","Chamaecrista brachystachya (Benth.) Conc. et al.",105506,NA,"LFB","name ok","","Chamaecrista brachystachya"
"95","Fabaceae","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.",105462,"Fabaceae","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.",105462,NA,"LFB","name ok","","Chamaecrista confertiformis"
"96","Fabaceae","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.",105507,"Fabaceae","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.",105507,NA,"LFB","name ok","","Chamaecrista decora"
"97","Fabaceae","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby",18335,"Fabaceae","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby",18335,NA,"LFB","name ok","","Chamaecrista duartei"
"98","Fabaceae","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby",27965,"Fabaceae","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby",27965,NA,"LFB","name ok","","Chamaecrista hedysaroides"
"99","Fabaceae","Copaifera sabulicola J.Costa & L.P.Queiroz","Copaifera sabulicola J.Costa & L.P.Queiroz",115212,"Fabaceae","Copaifera sabulicola J.Costa & L.P.Queiroz",115212,NA,"LFB","name ok","","Copaifera sabulicola"
"100","Fabaceae","Dalbergia acuta Benth.","Dalbergia acuta Benth.",29591,"Fabaceae","Dalbergia acuta Benth.",29591,NA,"LFB","name ok","","Dalbergia acuta"
