"","scientificName","scientificName_gbif","species_gbif","usageKey","sepciesKey","rank","status"
"381","Ravenia polygalaecalyx Ducke","Ravenia polygalaecalyx Ducke","Ravenia polygalaecalyx","5593635","5593635","SPECIES","ACCEPTED"
"382","Ticorea froesii Kallunki","Ticorea froesii Kallunki","Ticorea froesii","3835717","3835717","SPECIES","ACCEPTED"
"383","Zanthoxylum djalma-batistae (Albuq.) P.G.Waterman","Zanthoxylum djalma-batistae (deAlbuquerque) Waterman","Zanthoxylum djalma-batistae","3831618","3831618","SPECIES","ACCEPTED"
"384","Zanthoxylum gardneri Engl.","Zanthoxylum gardneri Engl.","Zanthoxylum gardneri","3838225","3838225","SPECIES","ACCEPTED"
"385","Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman","Zanthoxylum kleinii (R.S.Cowan) Waterman","Zanthoxylum kleinii","3837392","3837392","SPECIES","ACCEPTED"
"386","Zanthoxylum nemorale Mart.","Zanthoxylum nemorale Mart.","Zanthoxylum nemorale","3836229","3836229","SPECIES","ACCEPTED"
"387","Zanthoxylum retusum (Albuq.) P.G.Waterman","Zanthoxylum retusum (de Albuquerque) Waterman","Zanthoxylum retusum","3834809","3834809","SPECIES","ACCEPTED"
"388","Casearia oblongifolia Cambess.","Casearia oblongifolia Cambess.","Casearia oblongifolia","7384060","7384060","SPECIES","ACCEPTED"
"389","Casearia selloana Eichler","Casearia selloana Eichler","Casearia selloana","8428226","8428226","SPECIES","ACCEPTED"
"390","Cupania tenuivalvis Radlk.","Cupania tenuivalvis Radlk.","Cupania tenuivalvis","3784400","3784400","SPECIES","ACCEPTED"
"391","Diatenopteryx grazielae Vaz & Andreata","Diatenopteryx grazielae Vaz & R.H.P.Andreata","Diatenopteryx grazielae","3787652","3787652","SPECIES","ACCEPTED"
"392","Matayba livescens (Radlk.) R. L. G. Coelho, V. C. Souza & Ferrucci","Matayba livescens (Radlk.) R.L.G.Coelho, V.C.Souza & Ferrucci","Matayba livescens","9073189","9073189","SPECIES","ACCEPTED"
"393","Matayba mollis Radlk.","Matayba mollis Radlk.","Matayba mollis","3784144","3784144","SPECIES","ACCEPTED"
"394","Toulicia crassifolia Radlk.","Toulicia crassifolia Radlk.","Toulicia crassifolia","3786369","3786369","SPECIES","ACCEPTED"
"395","Toulicia subsquamulata Radlk.","Toulicia subsquamulata Radlk.","Toulicia subsquamulata","3786265","3786265","SPECIES","ACCEPTED"
"396","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","Homalolepis cuneata (A.St.-Hil. & Tul.) Devecchi & Pirani","Simaba floribunda","9294049","3708799","SPECIES","SYNONYM"
"397","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","Homalolepis ferruginea (A.St.-Hil.) Devecchi & Pirani","Simaba ferruginea","9285448","7329582","SPECIES","SYNONYM"
"398","Siparuna cymosa Tolm.","Siparuna cymosa Tolm.","Siparuna cymosa","3783105","3783105","SPECIES","ACCEPTED"
"399","Cestrum corcovadense Miers","Cestrum corcovadense Miers","Cestrum corcovadense","3797019","3797019","SPECIES","ACCEPTED"
"400","Cestrum subpulverulentum Mart.","Cestrum subpulverulentum Mart.","Cestrum subpulverulentum","7299852","7299852","SPECIES","ACCEPTED"
"401","Solanum castaneum Carvalho","Solanum castaneum Carvalho","Solanum castaneum","2932274","2932274","SPECIES","ACCEPTED"
"402","Solanum falciforme Farruggia","Solanum falciforme Farruggia","Solanum falciforme","8104212","8104212","SPECIES","ACCEPTED"
"403","Solanum sellowianum Sendtn.","Solanum sellowianum Sendtn.","Solanum sellowianum","3801110","3801110","SPECIES","ACCEPTED"
"404","Styrax latifolius Pohl","Styrax latifolius Pohl","Styrax latifolius","7909330","7909330","SPECIES","ACCEPTED"
"405","Styrax pedicellatus (Perkins) B.Walln.","Styrax pedicellatus (Perkins) B.Walln.","Styrax pedicellatus","5541347","5541347","SPECIES","ACCEPTED"
"406","Symplocos nitidiflora Brand","Symplocos nitidiflora Brand","Symplocos nitidiflora","3643679","3643679","SPECIES","ACCEPTED"
"407","Symplocos pentandra (Mattos) Occhioni ex Aranha","Symplocos pentandra (Mattos) Occhioni ex Aranha","Symplocos pentandra","8232570","8232570","SPECIES","ACCEPTED"
"408","Symplocos platyphylla (Pohl) Benth.","Symplocos platyphylla Benth.","Symplocos platyphylla","7318831","7318831","SPECIES","ACCEPTED"
"409","Symplocos pustulosa Aranha","Symplocos pustulosa Aranha","Symplocos pustulosa","7922145","7922145","SPECIES","ACCEPTED"
"410","Daphnopsis brasiliensis Mart.","Daphnopsis brasiliensis Mart. & Zucc.","Daphnopsis brasiliensis","3568340","3568340","SPECIES","ACCEPTED"
